ID_Cliente,Fecha_Registro,Plan,Ingreso_Mensual_MXN,Estatus,Fecha_Cancelacion,Pais
CUST-10000,2023-12-20,Basico,500.0,Activo,,Mexico
CUST-10001,2025-01-05,Basico,500.0,Cancelado,2025-08-27,Colombia
CUST-10002,2024-07-02,Basico,500.0,Activo,,Chile
CUST-10003,2025-07-22,Enterprise,3500.0,Activo,,Peru
CUST-10004,2023-05-28,Pro,1200.0,Cancelado,2023-10-26,Chile
CUST-10005,2025-03-27,Pro,1200.0,Cancelado,2026-02-02,Peru
CUST-10006,2024-02-11,Basico,500.0,Activo,,Chile
CUST-10007,2024-01-20,Pro,1200.0,Activo,,Chile
CUST-10008,2025-01-21,Basico,500.0,Activo,,Colombia
CUST-10009,2025-06-04,Basico,500.0,Cancelado,2026-03-18,Peru
CUST-10010,2025-02-27,Pro,1200.0,Activo,,Peru
CUST-10011,2024-10-03,Basico,500.0,Activo,,Mexico
CUST-10012,2023-06-17,Basico,500.0,Cancelado,2024-03-12,Chile
CUST-10013,2024-09-16,Basico,500.0,Activo,,Chile
CUST-10014,2025-07-12,Enterprise,3500.0,Cancelado,2026-02-07,Peru
CUST-10015,2025-03-19,Enterprise,3500.0,Cancelado,2025-08-01,Colombia
CUST-10016,2024-03-09,Pro,1200.0,Activo,,Chile
CUST-10017,2024-09-03,Pro,1200.0,Activo,,Mexico
CUST-10018,2023-07-15,Basico,500.0,Activo,,Chile
CUST-10019,2024-09-30,Basico,500.0,Activo,,Argentina
CUST-10020,2023-11-11,Pro,1200.0,Activo,,Peru
CUST-10021,2023-11-24,Enterprise,3500.0,Activo,,Argentina
CUST-10022,2024-05-08,Pro,1200.0,Activo,,Mexico
CUST-10023,2025-03-19,Basico,500.0,Cancelado,2025-05-18,Colombia
CUST-10024,29/04/2025,Basico,500.0,Cancelado,2025-11-16,Colombia
CUST-10025,2024-04-20,Basico,500.0,activo ,,Argentina
CUST-10026,2024-03-26,Basico,,Activo,,Chile
CUST-10027,2023-10-15,Basico,500.0,Cancelado,2024-08-18,Colombia
CUST-10028,2023-06-07,Basico,500.0,Activo,,Mexico
CUST-10029,12/06/2023,Pro,1200.0,Activo,,Peru
CUST-10030,2024-03-16,Basico,500.0,Activo,,Mexico
CUST-10031,2025-01-09,Basico,500.0,Activo,,Mexico
CUST-10032,2024-01-06,Enterprise,3500.0,Activo,,Peru
CUST-10033,2023-05-30,Pro,1200.0,Activo,,Argentina
CUST-10034,2024-01-04,Pro,1200.0,Activo,,Argentina
CUST-10035,2024-04-14,Basico,500.0,Activo,,Peru
CUST-10036,2025-01-12,Basico,500.0,Activo,,Colombia
CUST-10037,2023-11-21,Basico,500.0,Cancelado,2024-08-31,Mexico
CUST-10038,2023-06-01,Basico,500.0,Activo,,Mexico
CUST-10039,2023-08-03,Basico,500.0,Activo,,Mexico
CUST-10040,2023-11-29,Basico,500.0,Activo,,Argentina
CUST-10041,2024-03-23,Pro,1200.0,Activo,,Peru
CUST-10042,2023-10-30,Basico,500.0,Activo,,Peru
CUST-10043,2024-02-03,Basico,500.0,Activo,,Mexico
CUST-10044,2025-05-25,Basico,500.0,Activo,,Argentina
CUST-10045,2023-07-29,Enterprise,3500.0,Activo,,Colombia
CUST-10046,2023-06-14,Basico,500.0,Activo,,Peru
CUST-10047,31/03/2024,Pro,1200.0,Activo,,Chile
CUST-10048,28/08/2023,Pro,1200.0,Activo,,Chile
CUST-10049,2023-09-02,Basico,500.0,Suspendido,,Peru
CUST-10050,29/06/2023,Basico,500.0,Suspendido,,Chile
CUST-10051,2025-02-10,Basico,500.0,Activo,,Chile
CUST-10052,2023-05-23,Pro,1200.0,Activo,,Colombia
CUST-10053,2023-05-17,Basico,500.0,Activo,,Argentina
CUST-10054,2024-09-10,Basico,500.0,Activo,,Argentina
CUST-10055,2023-12-11,Basico,500.0,Activo,,Peru
CUST-10056,2024-07-10,Basico,500.0,Activo,,Colombia
CUST-10057,2023-07-15,Basico,500.0,Activo,,Colombia
CUST-10058,2023-06-29,Basico,500.0,Activo,,Argentina
CUST-10059,2023-09-09,Pro,1200.0,Activo,,Argentina
CUST-10060,2025-05-04,Pro,1200.0,Cancelado,2025-09-09,Chile
CUST-10061,2024-02-09,Basico,500.0,Activo,,Peru
CUST-10062,2024-02-08,Pro,1200.0,Cancelado,2024-09-21,Peru
CUST-10063,2023-12-21,Enterprise,3500.0,Cancelado,2024-10-10,Mexico
CUST-10064,2024-08-08,Basico,500.0,Cancelado,2025-04-18,Chile
CUST-10065,2024-07-19,Basico,500.0,Activo,,Argentina
CUST-10066,2025-06-16,Pro,1200.0,Activo,,Argentina
CUST-10067,2024-12-07,Basico,500.0,Activo,,Peru
CUST-10068,2025-05-06,Enterprise,3500.0,Activo,,Mexico
CUST-10069,2025-03-20,Pro,1200.0,Activo,,Peru
CUST-10070,09/07/2024,Pro,1200.0,Activo,,Peru
CUST-10071,2023-07-07,Basico,500.0,Activo,,Chile
CUST-10072,2024-09-30,Basico,500.0,Activo,,Colombia
CUST-10073,2024-07-09,Basico,500.0,Activo,,Chile
CUST-10074,2024-11-15,Pro,1200.0,Activo,,Chile
CUST-10075,2023-12-17,Enterprise,3500.0,Activo,,Chile
CUST-10076,2023-09-14,Basico,500.0,Activo,,Colombia
CUST-10077,2025-07-02,Enterprise,3500.0,Activo,,Mexico
CUST-10078,2024-08-07,Pro,1200.0,Activo,,Chile
CUST-10079,2024-06-13,Basico,500.0,Activo,,Mexico
CUST-10080,2024-08-03,Basico,500.0,Activo,,Mexico
CUST-10081,2024-07-07,Basico,500.0,Activo,,Peru
CUST-10082,2023-10-26,Basico,500.0,Activo,,Peru
CUST-10083,04/10/2023,Basico,500.0,Activo,,Peru
CUST-10084,2025-02-10,Basico,500.0,Cancelado,2025-06-06,Mexico
CUST-10085,2024-09-10,Basico,500.0,Activo,,Chile
CUST-10086,2025-05-21,Basico,500.0,Activo,,Colombia
CUST-10087,07/07/2023,Pro,1200.0,Cancelado,2023-12-02,Argentina
CUST-10088,2025-02-08,Basico,500.0,Cancelado,2025-05-30,Chile
CUST-10089,2024-01-24,Enterprise,3500.0,Activo,,Peru
CUST-10090,2025-03-11,Basico,500.0,Activo,,Peru
CUST-10091,2024-03-27,Pro,1200.0,Activo,,Chile
CUST-10092,2025-05-01,Enterprise,3500.0,Activo,,Peru
CUST-10093,2024-01-26,Pro,1200.0,Activo,,Argentina
CUST-10094,2025-07-03,Basico,500.0,Activo,,Peru
CUST-10095,2023-11-14,Basico,500.0,Cancelado,2024-06-15,Mexico
CUST-10096,30/06/2024,Basico,500.0,Cancelado,2024-10-15,Chile
CUST-10097,2023-07-21,Pro,1200.0,Cacnelado,,Chile
CUST-10098,14/10/2023,Basico,500.0,Activo,,Peru
CUST-10099,2024-06-17,Basico,500.0,Activo,,Peru
CUST-10100,2024-09-20,Basico,500.0,Activo,,Peru
CUST-10101,2025-01-05,Pro,1200.0,Activo,,Peru
CUST-10102,2024-10-18,Pro,1200.0,Activo,,Mexico
CUST-10103,2025-03-23,Pro,1200.0,Activo,,Argentina
CUST-10104,20/12/2023,Pro,1200.0,Activo,,Chile
CUST-10105,2024-03-11,Basico,500.0,Activo,,Colombia
CUST-10106,2024-09-10,Basico,500.0,Activo,,Chile
CUST-10107,2024-08-21,Basico,500.0,Activo,,Peru
CUST-10108,2024-11-21,Basico,500.0,Activo,,Argentina
CUST-10109,2024-02-22,Basico,500.0,Activo,,Peru
CUST-10110,2024-11-07,Basico,500.0,Activo,,Mexico
CUST-10111,2025-05-09,Basico,500.0,Cancelado,2025-11-22,Chile
CUST-10112,2023-08-04,Basico,500.0,Activo,,Colombia
CUST-10113,2024-06-07,Enterprise,3500.0,Activo,,Argentina
CUST-10114,2023-06-15,Basico,500.0,Activo,,Colombia
CUST-10115,2024-02-05,Pro,1200.0,Suspendido,,Colombia
CUST-10116,2025-03-22,Basico,500.0,Cancelado,2025-10-24,Argentina
CUST-10117,2023-11-22,Pro,1200.0,Activo,,Peru
CUST-10118,2023-11-07,Pro,1200.0,Activo,,Argentina
CUST-10119,2024-12-21,Basico,,Activo,,Colombia
CUST-10120,2025-02-06,Enterprise,3500.0,Activo,,Colombia
CUST-10121,2023-09-09,Basico,500.0,Activo,,Mexico
